2020/02/27 10:35:40 [error] 6#6: *2 open() "/usr/share/nginx/html/favicon.ico" failed (2: No such file or directory), client: 192.168.224.1, server: localhost, request: "GET /favicon.ico HTTP/1.0", host: "mills.prod"
2020/02/27 10:37:10 [error] 6#6: *9 open() "/usr/share/nginx/html/favicon.ico" failed (2: No such file or directory), client: 192.168.224.1, server: localhost, request: "GET /favicon.ico HTTP/1.0", host: "mills.prod"
2020/02/27 10:50:13 [error] 6#6: *3 open() "/usr/share/nginx/html/favicon.ico" failed (2: No such file or directory), client: 192.168.240.1, server: localhost, request: "GET /favicon.ico HTTP/1.0", host: "mills.prod"
2020/02/27 10:58:38 [error] 6#6: *339 connect() failed (111: Connection refused) while connecting to upstream, client: 192.168.240.1, server: , request: "GET / HTTP/1.0", upstream: "http://192.168.240.3:5601/", host: "mills.prod"
2020/02/27 10:58:39 [error] 6#6: *341 connect() failed (111: Connection refused) while connecting to upstream, client: 192.168.240.1, server: , request: "GET / HTTP/1.0", upstream: "http://192.168.240.3:5601/", host: "mills.prod"
2020/02/27 10:58:44 [error] 6#6: *345 recv() failed (104: Connection reset by peer) while reading response header from upstream, client: 192.168.240.1, server: , request: "GET /app/kibana HTTP/1.0", upstream: "http://192.168.240.3:5601/app/kibana", host: "mills.prod"
2020/02/27 10:58:44 [error] 6#6: *347 connect() failed (111: Connection refused) while connecting to upstream, client: 192.168.240.1, server: , request: "GET /app/kibana HTTP/1.0", upstream: "http://192.168.240.3:5601/app/kibana", host: "mills.prod"
2020/02/27 11:00:59 [error] 6#6: *1097 connect() failed (111: Connection refused) while connecting to upstream, client: 192.168.240.1, server: , request: "GET /app/kibana HTTP/1.0", upstream: "http://192.168.240.3:5601/app/kibana", host: "mills.prod"
2020/02/27 11:00:59 [error] 6#6: *1099 connect() failed (111: Connection refused) while connecting to upstream, client: 192.168.240.1, server: , request: "GET /app/kibana HTTP/1.0", upstream: "http://192.168.240.3:5601/app/kibana", host: "mills.prod"
2020/02/27 11:01:00 [error] 6#6: *1101 connect() failed (111: Connection refused) while connecting to upstream, client: 192.168.240.1, server: , request: "GET /app/kibana HTTP/1.0", upstream: "http://192.168.240.3:5601/app/kibana", host: "mills.prod"
2020/02/27 11:01:01 [error] 6#6: *1103 connect() failed (111: Connection refused) while connecting to upstream, client: 192.168.240.1, server: , request: "GET /app/kibana HTTP/1.0", upstream: "http://192.168.240.3:5601/app/kibana", host: "mills.prod"
2020/02/27 11:01:04 [error] 6#6: *1105 connect() failed (111: Connection refused) while connecting to upstream, client: 192.168.240.1, server: , request: "GET / HTTP/1.0", upstream: "http://192.168.240.3:5601/", host: "mills.prod"
2020/02/27 11:01:23 [error] 6#6: *1107 connect() failed (111: Connection refused) while connecting to upstream, client: 192.168.240.1, server: , request: "GET / HTTP/1.0", upstream: "http://192.168.240.3:5601/", host: "mills.prod"
2020/02/27 11:01:24 [error] 6#6: *1109 connect() failed (111: Connection refused) while connecting to upstream, client: 192.168.240.1, server: , request: "GET / HTTP/1.0", upstream: "http://192.168.240.3:5601/", host: "mills.prod"
2020/02/27 11:01:24 [error] 6#6: *1111 connect() failed (111: Connection refused) while connecting to upstream, client: 192.168.240.1, server: , request: "GET / HTTP/1.0", upstream: "http://192.168.240.3:5601/", host: "mills.prod"
2020/02/27 11:05:21 [error] 6#6: *1 connect() failed (113: No route to host) while connecting to upstream, client: 172.18.0.1, server: , request: "GET / HTTP/1.0", upstream: "http://172.18.0.4:5601/", host: "mills.prod"
2020/02/27 11:05:24 [error] 6#6: *3 connect() failed (113: No route to host) while connecting to upstream, client: 172.18.0.1, server: , request: "GET / HTTP/1.0", upstream: "http://172.18.0.4:5601/", host: "mills.prod"
2020/02/27 11:15:43 [error] 6#6: *5 connect() failed (111: Connection refused) while connecting to upstream, client: 172.18.0.1, server: , request: "GET / HTTP/1.0", upstream: "http://172.18.0.4:5601/", host: "mills.prod"
2020/02/27 11:15:46 [error] 6#6: *7 connect() failed (111: Connection refused) while connecting to upstream, client: 172.18.0.1, server: , request: "GET / HTTP/1.0", upstream: "http://172.18.0.4:5601/", host: "mills.prod"
2020/02/27 13:24:48 [error] 7#7: *1 connect() failed (113: No route to host) while connecting to upstream, client: 172.19.0.1, server: , request: "GET /app/kibana HTTP/1.0", upstream: "http://172.19.0.5:5601/app/kibana", host: "mills.prod"
2020/02/27 13:24:55 [error] 7#7: *4 connect() failed (113: No route to host) while connecting to upstream, client: 172.19.0.1, server: , request: "GET / HTTP/1.0", upstream: "http://172.19.0.5:5601/", host: "mills.prod"
2020/02/27 13:25:05 [error] 7#7: *6 connect() failed (113: No route to host) while connecting to upstream, client: 172.19.0.1, server: , request: "GET /app/kibana HTTP/1.0", upstream: "http://172.19.0.5:5601/app/kibana", host: "mills.prod"
2020/02/27 13:25:43 [error] 7#7: *8 connect() failed (113: No route to host) while connecting to upstream, client: 172.19.0.1, server: , request: "GET / HTTP/1.0", upstream: "http://172.19.0.5:5601/", host: "mills.prod"
2020/02/27 13:27:05 [error] 7#7: *12 connect() failed (113: No route to host) while connecting to upstream, client: 172.19.0.1, server: , request: "GET / HTTP/1.0", upstream: "http://172.19.0.5:5601/", host: "mills.prod"
2020/02/27 13:27:11 [error] 7#7: *15 connect() failed (113: No route to host) while connecting to upstream, client: 172.19.0.1, server: , request: "GET / HTTP/1.0", upstream: "http://172.19.0.5:5601/", host: "mills.prod"
2020/02/27 13:27:47 [error] 7#7: *17 connect() failed (113: No route to host) while connecting to upstream, client: 172.19.0.1, server: , request: "GET / HTTP/1.0", upstream: "http://172.19.0.5:5601/", host: "mills.prod"
2020/02/27 13:28:56 [error] 7#7: *19 connect() failed (113: No route to host) while connecting to upstream, client: 172.19.0.1, server: , request: "GET / HTTP/1.0", upstream: "http://172.19.0.5:5601/", host: "mills.prod"
2020/03/02 14:05:51 [error] 6#6: *5 connect() failed (111: Connection refused) while connecting to upstream, client: 10.20.200.55, server: , request: "GET / HTTP/1.1", upstream: "http://172.22.0.6:5601/", host: "lamas.int"
2020/03/02 15:27:50 [error] 6#6: *1 connect() failed (111: Connection refused) while connecting to upstream, client: 10.20.200.68, server: , request: "GET /app/kibana HTTP/1.1", upstream: "http://172.25.0.2:5601/app/kibana", host: "lamas.int"
2020/03/02 15:28:06 [error] 6#6: *1 connect() failed (111: Connection refused) while connecting to upstream, client: 10.20.200.68, server: , request: "GET / HTTP/1.1", upstream: "http://172.25.0.2:5601/", host: "lamas.int"
2020/03/02 15:28:08 [error] 6#6: *1 connect() failed (111: Connection refused) while connecting to upstream, client: 10.20.200.68, server: , request: "GET / HTTP/1.1", upstream: "http://172.25.0.2:5601/", host: "lamas.int"
2020/03/02 15:28:08 [error] 6#6: *1 connect() failed (111: Connection refused) while connecting to upstream, client: 10.20.200.68, server: , request: "GET / HTTP/1.1", upstream: "http://172.25.0.2:5601/", host: "lamas.int"
2020/03/02 15:28:08 [error] 6#6: *1 connect() failed (111: Connection refused) while connecting to upstream, client: 10.20.200.68, server: , request: "GET / HTTP/1.1", upstream: "http://172.25.0.2:5601/", host: "lamas.int"
2020/03/02 15:28:09 [error] 6#6: *1 connect() failed (111: Connection refused) while connecting to upstream, client: 10.20.200.68, server: , request: "GET / HTTP/1.1", upstream: "http://172.25.0.2:5601/", host: "lamas.int"
2020/03/02 15:30:36 [error] 6#6: *1 connect() failed (111: Connection refused) while connecting to upstream, client: 10.20.200.68, server: , request: "GET / HTTP/1.1", upstream: "http://172.26.0.6:5601/", host: "lamas.int"
2020/03/02 15:30:40 [error] 6#6: *3 connect() failed (111: Connection refused) while connecting to upstream, client: 10.20.200.55, server: , request: "GET / HTTP/1.1", upstream: "http://172.26.0.6:5601/", host: "lamas.int"
2020/03/02 15:30:42 [error] 6#6: *3 connect() failed (111: Connection refused) while connecting to upstream, client: 10.20.200.55, server: , request: "GET / HTTP/1.1", upstream: "http://172.26.0.6:5601/", host: "lamas.int"
2020/03/02 15:30:43 [error] 6#6: *3 connect() failed (111: Connection refused) while connecting to upstream, client: 10.20.200.55, server: , request: "GET / HTTP/1.1", upstream: "http://172.26.0.6:5601/", host: "lamas.int"
2020/03/02 15:30:43 [error] 6#6: *3 connect() failed (111: Connection refused) while connecting to upstream, client: 10.20.200.55, server: , request: "GET / HTTP/1.1", upstream: "http://172.26.0.6:5601/", host: "lamas.int"
2020/03/02 15:30:43 [error] 6#6: *3 connect() failed (111: Connection refused) while connecting to upstream, client: 10.20.200.55, server: , request: "GET / HTTP/1.1", upstream: "http://172.26.0.6:5601/", host: "lamas.int"
2020/03/02 15:30:46 [error] 6#6: *10 connect() failed (111: Connection refused) while connecting to upstream, client: 10.20.200.55, server: , request: "GET /app/kibana HTTP/1.1", upstream: "http://172.26.0.6:5601/app/kibana", host: "lamas.int"
2020/03/02 15:30:49 [error] 6#6: *10 connect() failed (111: Connection refused) while connecting to upstream, client: 10.20.200.55, server: , request: "GET / HTTP/1.1", upstream: "http://172.26.0.6:5601/", host: "lamas.int"
2020/03/02 15:30:50 [error] 6#6: *10 connect() failed (111: Connection refused) while connecting to upstream, client: 10.20.200.55, server: , request: "GET / HTTP/1.1", upstream: "http://172.26.0.6:5601/", host: "lamas.int"
2020/03/02 15:31:17 [error] 6#6: *14 connect() failed (111: Connection refused) while connecting to upstream, client: 10.20.200.55, server: , request: "GET / HTTP/1.1", upstream: "http://172.26.0.6:5601/", host: "lamas.int"
2020/03/02 15:31:18 [error] 6#6: *14 connect() failed (111: Connection refused) while connecting to upstream, client: 10.20.200.55, server: , request: "GET / HTTP/1.1", upstream: "http://172.26.0.6:5601/", host: "lamas.int"
2020/03/02 15:31:19 [error] 6#6: *14 connect() failed (111: Connection refused) while connecting to upstream, client: 10.20.200.55, server: , request: "GET / HTTP/1.1", upstream: "http://172.26.0.6:5601/", host: "lamas.int"
